category,content,link,ref-link
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,ของจริงนะครับ มีงานวิจัยยืนยัน,https://cofact.org/article/1li9139uion6w,['https://www.sciencedirect.com/science/article/abs/pii/S1471491401020275']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,เนื้อหา ผมบางหนาขึ้นได้ เพราะกินสิ่งนี้ทุก ๆ วันติดต่อกัน 2 เดือน ของบทความนี้มีทฤษฎีสมคบคิดที่ไม่สามารถยืนยันได้ คือ สิ่งนั้นคือสิ่งไหนก็ไม,https://cofact.org/article/1li9139uion6w,['https://www.nejm.org/doi/full/10.1056/NEJM199909233411307']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,พบเจอที่มาจากแหล่งข่าวบน Twitter ซึ่งดูจากรายการแล้วมีความน่าเชื่อถือค่อนข้างสูง มีคุณหมอที่ระบุตัวตนมายืนยัน,https://cofact.org/article/1li9139uion6w,['https://twitter.com/japansalaryboom/status/1171401288191315968']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,ของดี หมอสำเริงก็บอกว่าดี,https://cofact.org/article/2resw1pb97bcc,['https://www.honestdocs.co/ask/44288989']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ถึงแม่ว่าจะมีการทดลองได้ผลในสัตว์ แต่ไม่มีผลการทดลองยืนยันในคน,https://cofact.org/article/2resw1pb97bcc,['https://www.health.harvard.edu/blog/cannabidiol-cbd-what-we-know-and-what-we-dont-2018082414476']
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,มีงานวิจัยทางการแพทย์ระบุว่าสาร CBD ในกัญชามีฤทธิ์ช่วยลดอาการสักเสบการเนื้อเยื่อในผู้ป่วยเป็นโรคหอบหืด,https://cofact.org/article/2resw1pb97bcc,['https://www.hindawi.com/journals/mi/2015/538670/abs/']
บรรณาธิการไม่สามารถตรวจสอบเนื้อหานี้ได้ หรือ เนื้อหานี้ไม่ได้อยู่ในขอบเขตการตรวจสอบของ Cofact,นี่เป็นโฆษณาของหมอสำเริง,https://cofact.org/article/2resw1pb97bcc,[]
ข้อความหรือข้อความนี้เป็นจริงเกือบทั้งหมด,เป็นข้อมูลจริงจากการทดสอบของมูลนิธิเพื่อผู้บริโภค พบสารปนเปื้อนทั้งหมด 17 ยี่ห้อ,https://cofact.org/article/iegselurn2op,['https://www.consumerthai.org/news-consumerthai/consumers-news/food-and-drug/4366-620801_nampriknum_2ndtest.html']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,"""น้ำมะนาวร้อน รักษามะเร็ง"" ไม่ใช่เรื่องจริงนะครับ !!",https://cofact.org/article/2xwlqnz7pav0l,['https://www.facebook.com/OhISeebyAjarnJess/posts/689613928188330/']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ศูนย์ชัวร์ก่อนแชร์ สำนักข่าวไทย อสมท สอบถาม ผศ.ดร.ชนิพรรณ บุตรยี่ ผู้เชี่ยวชาญสถาบันโภชนาการ มหาวิทยาลัยมหิดล,https://cofact.org/article/2xwlqnz7pav0l,['https://tna.mcot.net/view/5af19189e3f8e40acac46717']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,"การกิน ""มะนาว"" ไม่ควรกินเดี่ยวๆ อย่างเดียว อาจนำมะนาวสดไปประกอบอาหารต่างๆ อาทิ ต้มยำ ยังได้ประโยชน์จากข่า ตะไคร้ ใบมะกรูด และสารอื่นๆ ทั้งวิ",https://cofact.org/article/2xwlqnz7pav0l,['https://tna.mcot.net/view/5af19189e3f8e40acac46717']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,พูดไม่หมด บิดเบือน,https://cofact.org/article/1ukpajn9vmk8w,['https://www.livescience.com/61824-drinking-alcohol-longer-life-explainer.html']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,พูดไม่หมด บิดเบือน,https://cofact.org/article/2g3kc26tc5fqp,['https://www.livescience.com/61824-drinking-alcohol-longer-life-explainer.html']
ข้อความหรือเนื้อหานี้มีข้อมูลลวง,ยาที่ถูกแชร์เป็นยาที่ผลิตในประเทศอินเดีย และไม่ได้ขึ้นทะเบียนยา วางขายในประเทศไทย,https://cofact.org/article/1zlt4gkjoo3s3,['https://www.antifakenewscenter.com/%E0%B8%82%E0%B9%88%E0%B8%B2%E0%B8%A7%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%A1-%E0%B8%AD%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%8A%E0%B8%A3%E0%B9%8C-%E0%B8%A2%E0%B8%B2%E0%B8%9E%E0%B8%B2%E0%B8%A3/']
